Date ,Hour,  Time,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) ,Weighted MCP (Rs/MWh)
25-12-2021,16,15:45 - 16:00,10626.10,13215.90,8687.80,8687.80,3415.94,3415.94
25-12-2021,17,16:00 - 16:15,11492.00,13027.60,9556.40,9556.40,3421.98,3421.98
25-12-2021,17,16:15 - 16:30,11881.60,12715.60,10032.70,10032.70,3499.96,3499.96
25-12-2021,17,16:30 - 16:45,12356.60,12409.10,10063.90,10063.90,3800.98,3800.98
25-12-2021,17,16:45 - 17:00,12456.70,11830.70,10066.70,10066.70,4099.93,4099.93
25-12-2021,18,17:00 - 17:15,11620.70,11663.60,9590.10,9590.10,3989.51,3989.51
25-12-2021,18,17:15 - 17:30,10720.00,11136.60,8811.10,8811.10,3748.84,3748.84
25-12-2021,18,17:30 - 17:45,10305.90,10532.60,8303.60,8303.60,3898.61,3898.61
25-12-2021,18,17:45 - 18:00,10215.80,9791.30,8147.70,8147.70,4035.34,4035.34
25-12-2021,19,18:00 - 18:15,10659.40,9644.00,8521.80,8521.80,4494.61,4494.61
25-12-2021,19,18:15 - 18:30,11577.10,9468.30,8532.20,8532.20,5989.02,5989.02
25-12-2021,19,18:30 - 18:45,11479.00,9632.30,8686.09,8686.09,5500.58,5500.58
25-12-2021,19,18:45 - 19:00,10877.20,9551.30,8688.00,8688.00,4999.63,4999.63
25-12-2021,20,19:00 - 19:15,11050.40,9643.80,8810.20,8810.20,5160.97,5160.97
25-12-2021,20,19:15 - 19:30,10875.80,9491.10,8657.50,8657.50,5109.85,5109.85
25-12-2021,20,19:30 - 19:45,10743.80,9233.00,8399.40,8399.40,5200.34,5200.34
25-12-2021,20,19:45 - 20:00,9766.10,9060.90,7948.20,7948.20,4500.40,4500.40
25-12-2021,21,20:00 - 20:15,8888.10,10005.90,7884.80,7884.80,3749.13,3749.13
25-12-2021,21,20:15 - 20:30,8704.60,10304.10,7701.30,7701.30,3746.56,3746.56
25-12-2021,21,20:30 - 20:45,8258.30,10643.50,7615.10,7615.10,3499.23,3499.23
25-12-2021,21,20:45 - 21:00,7811.90,10825.70,7168.70,7168.70,3496.99,3496.99
25-12-2021,22,21:00 - 21:15,7328.00,10987.50,6265.90,6265.90,3491.11,3491.11
25-12-2021,22,21:15 - 21:30,7099.40,11438.10,6179.70,6179.70,3298.79,3298.79
25-12-2021,22,21:30 - 21:45,6835.10,12790.90,5999.00,5999.00,3176.88,3176.88
25-12-2021,22,21:45 - 22:00,6747.10,13795.50,6049.30,6049.30,2929.29,2929.29
25-12-2021,23,22:00 - 22:15,6970.10,14512.70,5521.70,5521.70,2770.59,2770.59
25-12-2021,23,22:15 - 22:30,6949.70,14653.90,5480.80,5480.80,2705.26,2705.26
25-12-2021,23,22:30 - 22:45,6707.60,14892.10,5335.20,5335.20,2559.50,2559.50
25-12-2021,23,22:45 - 23:00,6901.80,15997.40,5148.74,5148.74,2538.10,2538.10
25-12-2021,24,23:00 - 23:15,6355.50,17340.20,5228.50,5228.50,2239.77,2239.77
25-12-2021,24,23:15 - 23:30,6557.10,18229.70,5430.10,5430.10,2239.37,2239.37
25-12-2021,24,23:30 - 23:45,6585.40,19261.70,5557.90,5557.90,2189.39,2189.39
25-12-2021,24,23:45 - 24:00,6499.30,19478.70,5555.40,5555.40,2079.87,2079.87
26-12-2021,1,00:00 - 00:15,7308.50,13486.60,5132.90,5132.90,2202.59,2202.59
26-12-2021,1,00:15 - 00:30,7358.30,14255.60,5535.90,5535.90,2200.44,2200.44
26-12-2021,1,00:30 - 00:45,7481.20,14929.20,5734.50,5734.50,2189.50,2189.50
26-12-2021,1,00:45 - 01:00,7514.40,16013.50,5779.30,5779.30,2167.46,2167.46
26-12-2021,2,01:00 - 01:15,7541.90,17264.50,5387.20,5387.20,2005.00,2005.00
26-12-2021,2,01:15 - 01:30,7549.60,18158.40,5751.10,5751.10,2002.86,2002.86
26-12-2021,2,01:30 - 01:45,7395.80,18931.40,5954.10,5954.10,2000.94,2000.94
26-12-2021,2,01:45 - 02:00,7176.70,19121.40,6024.70,6024.70,1999.98,1999.98
26-12-2021,3,02:00 - 02:15,7198.60,19477.10,5812.70,5812.70,1999.57,1999.57
26-12-2021,3,02:15 - 02:30,7184.30,19652.10,5796.40,5796.40,1999.37,1999.37
26-12-2021,3,02:30 - 02:45,7167.00,19735.80,5775.10,5775.10,1999.26,1999.26
26-12-2021,3,02:45 - 03:00,7201.10,19823.80,5784.20,5784.20,1999.19,1999.19
26-12-2021,4,03:00 - 03:15,7118.80,19858.30,5738.00,5738.00,1999.10,1999.10
26-12-2021,4,03:15 - 03:30,7202.00,19794.40,5819.20,5819.20,1999.29,1999.29
26-12-2021,4,03:30 - 03:45,7237.50,19893.30,5849.70,5849.70,1999.17,1999.17
26-12-2021,4,03:45 - 04:00,7263.60,19955.30,5834.80,5834.80,1999.18,1999.18
26-12-2021,5,04:00 - 04:15,7339.80,20246.40,6237.40,6237.40,1979.93,1979.93
26-12-2021,5,04:15 - 04:30,7243.40,19430.30,6088.60,6088.60,1999.49,1999.49
26-12-2021,5,04:30 - 04:45,7088.30,18467.30,5923.70,5923.70,1999.81,1999.81
26-12-2021,5,04:45 - 05:00,7074.10,17567.60,5747.60,5747.60,2029.40,2029.40
26-12-2021,6,05:00 - 05:15,7542.90,15529.10,5560.20,5560.20,2538.22,2538.22
26-12-2021,6,05:15 - 05:30,8005.60,13568.60,6139.90,6139.90,2705.98,2705.98
26-12-2021,6,05:30 - 05:45,7638.80,12547.40,6144.30,6144.30,2819.86,2819.86
26-12-2021,6,05:45 - 06:00,7703.50,11949.20,6304.90,6304.90,2929.07,2929.07
26-12-2021,7,06:00 - 06:15,8994.90,10110.60,7201.70,7201.70,3700.71,3700.71
26-12-2021,7,06:15 - 06:30,10430.80,9688.00,7813.26,7813.26,4201.00,4201.00
26-12-2021,7,06:30 - 06:45,11256.10,9351.20,8239.50,8239.50,4989.30,4989.30
26-12-2021,7,06:45 - 07:00,12391.20,9838.90,9083.00,9083.00,5501.71,5501.71
26-12-2021,8,07:00 - 07:15,12804.80,11069.70,9946.70,9946.70,4494.11,4494.11
26-12-2021,8,07:15 - 07:30,13020.70,11637.80,10501.10,10501.10,4050.16,4050.16
26-12-2021,8,07:30 - 07:45,13683.30,11644.20,10850.40,10850.40,4510.60,4510.60
26-12-2021,8,07:45 - 08:00,13570.30,11888.10,10800.70,10800.70,4494.14,4494.14
26-12-2021,9,08:00 - 08:15,13497.40,12434.20,11196.50,11196.50,4099.06,4099.06
26-12-2021,9,08:15 - 08:30,13428.80,12693.80,11346.20,11346.20,3979.92,3979.92
26-12-2021,9,08:30 - 08:45,14055.70,12951.50,11762.70,11762.70,4000.59,4000.59
26-12-2021,9,08:45 - 09:00,14220.50,12756.20,11638.50,11638.50,4200.88,4200.88
26-12-2021,10,09:00 - 09:15,14308.00,13147.60,11812.99,11812.99,3850.56,3850.56
26-12-2021,10,09:15 - 09:30,14593.20,12368.60,11553.20,11553.20,4499.67,4499.67
26-12-2021,10,09:30 - 09:45,14611.00,11683.20,11167.70,11167.70,5520.07,5520.07
26-12-2021,10,09:45 - 10:00,14499.70,11054.90,10539.10,10539.10,5250.45,5250.45
26-12-2021,11,10:00 - 10:15,13020.30,10440.60,9631.20,9631.20,4520.05,4520.05
26-12-2021,11,10:15 - 10:30,12479.50,10105.20,9154.70,9154.70,4494.69,4494.69
26-12-2021,11,10:30 - 10:45,12162.40,9804.80,8935.70,8935.70,4589.94,4589.94
26-12-2021,11,10:45 - 11:00,11567.10,9717.70,8286.40,8286.40,4150.27,4150.27
26-12-2021,12,11:00 - 11:15,10382.60,9971.80,7845.30,7845.30,3499.37,3499.37
26-12-2021,12,11:15 - 11:30,10104.70,9915.20,7568.58,7568.58,3498.96,3498.96
26-12-2021,12,11:30 - 11:45,9834.50,9985.40,7397.60,7397.60,3499.05,3499.05
26-12-2021,12,11:45 - 12:00,9611.80,10162.70,7176.12,7176.12,3498.86,3498.86
26-12-2021,13,12:00 - 12:15,9244.30,10622.00,7025.00,7025.00,3419.04,3419.04
26-12-2021,13,12:15 - 12:30,9259.60,10893.60,7037.30,7037.30,3475.79,3475.79
26-12-2021,13,12:30 - 12:45,9393.20,11143.80,7032.80,7032.80,3445.87,3445.87
26-12-2021,13,12:45 - 13:00,9162.70,11773.00,6662.20,6662.20,3340.85,3340.85
26-12-2021,14,13:00 - 13:15,8099.90,12864.60,6327.00,6327.00,2929.59,2929.59
26-12-2021,14,13:15 - 13:30,7933.30,13823.80,6294.10,6294.10,2819.92,2819.92
26-12-2021,14,13:30 - 13:45,7848.50,14227.50,6212.20,6212.20,2819.52,2819.52
26-12-2021,14,13:45 - 14:00,7445.70,14136.30,5980.90,5980.90,2705.69,2705.69
26-12-2021,15,14:00 - 14:15,7769.90,15016.40,6314.20,6314.20,2559.65,2559.65
26-12-2021,15,14:15 - 14:30,7779.20,15196.00,6323.50,6323.50,2540.00,2540.00
26-12-2021,15,14:30 - 14:45,7731.90,15272.00,6276.20,6276.20,2539.54,2539.54
26-12-2021,15,14:45 - 15:00,7916.10,15336.00,6460.40,6460.40,2559.04,2559.04
26-12-2021,16,15:00 - 15:15,8743.20,14758.10,6961.69,6961.69,2800.46,2800.46
26-12-2021,16,15:15 - 15:30,9283.40,14158.30,7242.10,7242.10,3000.09,3000.09
26-12-2021,16,15:30 - 15:45,9419.80,13610.80,7380.50,7380.50,3244.57,3244.57
26-12-2021,16,15:45 - 16:00,9893.30,13109.70,7560.10,7560.10,3315.38,3315.38
26-12-2021,17,16:00 - 16:15,10295.90,13238.50,8101.50,8101.50,3306.46,3306.46
26-12-2021,17,16:15 - 16:30,10628.00,12575.60,8422.20,8422.20,3421.51,3421.51
26-12-2021,17,16:30 - 16:45,10894.10,11329.80,8423.40,8423.40,3979.32,3979.32
26-12-2021,17,16:45 - 17:00,10680.00,10758.90,8296.10,8296.10,4099.08,4099.08
26-12-2021,18,17:00 - 17:15,10304.30,10915.10,7660.21,7660.21,3748.78,3748.78
26-12-2021,18,17:15 - 17:30,9500.50,10715.20,7052.90,7052.90,3499.89,3499.89
26-12-2021,18,17:30 - 17:45,9090.60,10193.30,6458.80,6458.80,3600.92,3600.92
26-12-2021,18,17:45 - 18:00,8893.50,9509.50,6347.40,6347.40,3960.62,3960.62
26-12-2021,19,18:00 - 18:15,8697.20,9618.90,6868.60,6868.60,3989.58,3989.58
26-12-2021,19,18:15 - 18:30,9188.00,9453.70,6994.60,6994.60,4000.80,4000.80
26-12-2021,19,18:30 - 18:45,9200.50,9373.00,6933.50,6933.50,4076.16,4076.16
26-12-2021,19,18:45 - 19:00,8539.50,9246.20,6876.55,6876.55,4000.16,4000.16
26-12-2021,20,19:00 - 19:15,8521.00,9119.20,6782.30,6782.30,4150.38,4150.38
26-12-2021,20,19:15 - 19:30,8130.90,8763.30,6326.40,6326.40,4151.92,4151.92
26-12-2021,20,19:30 - 19:45,8024.50,8405.60,5947.70,5947.70,4097.21,4097.21
26-12-2021,20,19:45 - 20:00,7425.20,8546.10,5788.30,5788.30,3999.52,3999.52
26-12-2021,21,20:00 - 20:15,7268.50,9084.60,5903.80,5903.80,3900.25,3900.25
26-12-2021,21,20:15 - 20:30,7293.30,9241.80,5970.10,5970.10,3850.51,3850.51
26-12-2021,21,20:30 - 20:45,7167.20,9060.20,5832.98,5832.98,3879.02,3879.02
26-12-2021,21,20:45 - 21:00,7027.70,9596.20,5793.70,5793.70,3700.43,3700.43
26-12-2021,22,21:00 - 21:15,6758.10,10993.40,5911.60,5911.60,3244.32,3244.32
26-12-2021,22,21:15 - 21:30,6485.50,11506.90,5884.70,5884.70,2958.12,2958.12
26-12-2021,22,21:30 - 21:45,6915.10,12534.90,5880.90,5880.90,3000.23,3000.23
26-12-2021,22,21:45 - 22:00,6560.30,13429.60,5648.90,5648.90,2799.94,2799.94
26-12-2021,23,22:00 - 22:15,5922.70,14481.80,4493.00,4493.00,2299.89,2299.89
26-12-2021,23,22:15 - 22:30,5858.50,14286.80,4428.80,4428.80,2299.73,2299.73
26-12-2021,23,22:30 - 22:45,6298.70,14491.80,4832.23,4832.23,2400.35,2400.35
26-12-2021,23,22:45 - 23:00,6263.30,15208.90,4784.02,4784.02,2400.66,2400.66
26-12-2021,24,23:00 - 23:15,6253.50,16292.70,4782.90,4782.90,2299.31,2299.31
26-12-2021,24,23:15 - 23:30,6279.20,17097.20,4902.60,4902.60,2239.96,2239.96
26-12-2021,24,23:30 - 23:45,6254.70,18152.80,4955.10,4955.10,2200.15,2200.15
26-12-2021,24,23:45 - 24:00,6382.00,18455.90,5101.90,5101.90,2189.55,2189.55
27-12-2021,1,00:00 - 00:15,5560.20,16669.60,4852.20,4852.20,1800.19,1800.19
27-12-2021,1,00:15 - 00:30,5599.20,17501.60,4903.50,4903.50,1739.74,1739.74
27-12-2021,1,00:30 - 00:45,5926.60,18115.20,5216.20,5216.20,1800.24,1800.24
27-12-2021,1,00:45 - 01:00,5906.10,18853.50,5210.40,5210.40,1739.82,1739.82
27-12-2021,2,01:00 - 01:15,5884.20,19844.60,5180.90,5180.90,1724.80,1724.80
27-12-2021,2,01:15 - 01:30,5918.70,20723.50,5215.40,5215.40,1724.37,1724.37
27-12-2021,2,01:30 - 01:45,5873.60,20896.50,5170.30,5170.30,1724.03,1724.03
27-12-2021,2,01:45 - 02:00,5897.00,21042.50,5246.80,5246.80,1644.69,1644.69
27-12-2021,3,02:00 - 02:15,5895.10,21415.60,5249.80,5249.80,1644.03,1644.03
27-12-2021,3,02:15 - 02:30,5903.90,21732.50,5258.60,5258.60,1641.97,1641.97
27-12-2021,3,02:30 - 02:45,5841.00,21995.20,5195.70,5195.70,1621.38,1621.38
27-12-2021,3,02:45 - 03:00,5823.30,22021.20,5183.80,5183.80,1599.84,1599.84
27-12-2021,4,03:00 - 03:15,5816.10,22071.20,5192.60,5192.60,1579.50,1579.50
27-12-2021,4,03:15 - 03:30,5810.50,21983.20,5162.60,5162.60,1621.10,1621.10
27-12-2021,4,03:30 - 03:45,5841.90,21500.70,5218.50,5218.50,1578.66,1578.66
27-12-2021,4,03:45 - 04:00,5807.60,21554.80,5184.20,5184.20,1576.68,1576.68
27-12-2021,5,04:00 - 04:15,6214.50,21378.80,5555.50,5555.50,1641.45,1641.45
27-12-2021,5,04:15 - 04:30,6294.60,20565.80,5579.40,5579.40,1795.93,1795.93
