date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh),,
10-11-2021,10,09:45 - 10:00,11455.3,11808.3,8880,8880,3725.2,3725.2,,
10-11-2021,11,10:00 - 10:15,10392.6,11619.7,7957.2,7957.2,3199.9,3199.9,,
10-11-2021,11,10:15 - 10:30,10138.8,11571.2,7618.2,7618.2,3339.25,3339.25,,
10-11-2021,11,10:30 - 10:45,9836.6,11506.8,7270.3,7270.3,3277.67,3277.67,,
10-11-2021,11,10:45 - 11:00,9477.7,11422.4,6932.1,6932.1,3250.46,3250.46,,
10-11-2021,12,11:00 - 11:15,9129.4,11823.5,6766.4,6766.4,3149.4,3149.4,,
10-11-2021,12,11:15 - 11:30,9113.7,12375.7,7014.2,7014.2,3029.08,3029.08,,
10-11-2021,12,11:30 - 11:45,8930.6,12208.7,6846.5,6846.5,3010.67,3010.67,,
10-11-2021,12,11:45 - 12:00,8707.2,12308.1,6767,6767,3000.77,3000.77,,
10-11-2021,13,12:00 - 12:15,8320.5,12667.5,6895.3,6895.3,2900.34,2900.34,,
10-11-2021,13,12:15 - 12:30,7958.3,12703.8,6632.59,6632.59,2800.14,2800.14,,
10-11-2021,13,12:30 - 12:45,7438.7,13144,6242,6242,2432.56,2432.56,,
10-11-2021,13,12:45 - 13:00,7053.4,13219.6,5956.7,5956.7,2409.55,2409.55,,
10-11-2021,14,13:00 - 13:15,6909.3,13508.3,5876.5,5876.5,2300.41,2300.41,,
10-11-2021,14,13:15 - 13:30,6816.4,13709.8,5799.1,5799.1,2188.21,2188.21,,
10-11-2021,14,13:30 - 13:45,6791.8,13674.7,5796.8,5796.8,1999.95,1999.95,,
10-11-2021,14,13:45 - 14:00,7017.8,13718.4,6001.7,6001.7,2188.15,2188.15,,
10-11-2021,15,14:00 - 14:15,7280.2,13256.2,6380.6,6380.6,2409.8,2409.8,,
10-11-2021,15,14:15 - 14:30,7616.2,13056,6610.1,6610.1,2500.6,2500.6,,
10-11-2021,15,14:30 - 14:45,7725,12542.3,6604.5,6604.5,2700.22,2700.22,,
10-11-2021,15,14:45 - 15:00,8301.2,12149.4,6750.5,6750.5,2956.48,2956.48,,
10-11-2021,16,15:00 - 15:15,8764.9,11997,7076.6,7076.6,3020.11,3020.11,,
10-11-2021,16,15:15 - 15:30,9051.4,11420.1,7058.3,7058.3,3359.09,3359.09,,
10-11-2021,16,15:30 - 15:45,9307.9,11150.4,7051.11,7051.11,3700.72,3700.72,,
10-11-2021,16,15:45 - 16:00,9383.7,10847.9,7159.6,7159.6,3855.27,3855.27,,
10-11-2021,17,16:00 - 16:15,9087.2,10510,7077.97,7077.97,3750.32,3750.32,,
10-11-2021,17,16:15 - 16:30,9086.4,9992.9,6987.8,6987.8,3855.21,3855.21,,
10-11-2021,17,16:30 - 16:45,9394.1,9907.1,7072.6,7072.6,3604.22,3604.22,,
10-11-2021,17,16:45 - 17:00,9776.6,9557.2,7089.4,7089.4,3989.94,3989.94,,
10-11-2021,18,17:00 - 17:15,9021.5,9134.7,6516.2,6516.2,3479.83,3479.83,,
10-11-2021,18,17:15 - 17:30,9376.7,9040.2,6693.5,6693.5,4000.03,4000.03,,
10-11-2021,18,17:30 - 17:45,9977.4,9500.2,7094.9,7094.9,4209.25,4209.25,,
10-11-2021,18,17:45 - 18:00,10587.3,9297.2,7524.2,7524.2,4989.09,4989.09,,
10-11-2021,19,18:00 - 18:15,11485.5,8867.7,7967.1,7967.1,12000.03,12000.03,,
10-11-2021,19,18:15 - 18:30,11765.2,8458,7557.4,7557.4,15000.57,15000.57,,
10-11-2021,19,18:30 - 18:45,12337.3,8483,7582.4,7582.4,20000,20000,,
10-11-2021,19,18:45 - 19:00,11921.6,8590,7689.4,7689.4,14000.39,14000.39,,
10-11-2021,20,19:00 - 19:15,10324.4,9385.2,7828.7,7828.7,4869.27,4869.27,,
10-11-2021,20,19:15 - 19:30,9482.2,9884.4,7933.89,7933.89,4000.41,4000.41,,
10-11-2021,20,19:30 - 19:45,8886,10104.3,7542.29,7542.29,3800.11,3800.11,,
10-11-2021,20,19:45 - 20:00,8789.7,10387.1,7533.8,7533.8,3748.65,3748.65,,
10-11-2021,21,20:00 - 20:15,8537.3,11176.6,7789.1,7789.1,3389.38,3389.38,,
10-11-2021,21,20:15 - 20:30,8172.2,12069.4,7538.8,7538.8,2989.17,2989.17,,
10-11-2021,21,20:30 - 20:45,7929,12486.8,7330.3,7330.3,2849.08,2849.08,,
10-11-2021,21,20:45 - 21:00,7960.5,12378.8,7351.7,7351.7,2899.04,2899.04,,
10-11-2021,22,21:00 - 21:15,7922.8,11939,7287.4,7287.4,2989.39,2989.39,,
10-11-2021,22,21:15 - 21:30,7783.2,11821,7121.99,7121.99,3000.24,3000.24,,
10-11-2021,22,21:30 - 21:45,7512.4,11877.3,6926.4,6926.4,2899.86,2899.86,,
