Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
17-02-2021,11,10:45 - 11:00,7863.3,8500,6155,6155,3449,3449
17-02-2021,12,11:00 - 11:15,7393,8357.8,5961.7,5961.7,3337.72,3337.72
17-02-2021,12,11:15 - 11:30,7348.1,8429.2,5991.5,5991.5,3333.24,3333.24
17-02-2021,12,11:30 - 11:45,7275.4,8468.1,6008.7,6008.7,3229.12,3229.12
17-02-2021,12,11:45 - 12:00,7203.9,8542.9,6044.7,6044.7,3095.99,3095.99
17-02-2021,13,12:00 - 12:15,7454.3,9068.5,6279.3,6279.3,3100.86,3100.86
17-02-2021,13,12:15 - 12:30,7755.6,9401.2,6491.5,6491.5,3250.77,3250.77
17-02-2021,13,12:30 - 12:45,7827.4,9813.7,6578.8,6578.8,3229.28,3229.28
17-02-2021,13,12:45 - 13:00,7968.8,10039,6719.9,6719.9,3229.67,3229.67
17-02-2021,14,13:00 - 13:15,8067.2,10326.1,7012.3,7012.3,3061.66,3061.66
17-02-2021,14,13:15 - 13:30,7852.1,10977.2,6974.9,6974.9,2947.38,2947.38
17-02-2021,14,13:30 - 13:45,7914,11581,7141.7,7141.7,2828.17,2828.17
17-02-2021,14,13:45 - 14:00,7955.8,12213,7277.1,7277.1,2673.91,2673.91
17-02-2021,15,14:00 - 14:15,7738.4,12559.4,7097.4,7097.4,2630.92,2630.92
17-02-2021,15,14:15 - 14:30,8051.2,12899.2,7410.2,7410.2,2649.33,2649.33
17-02-2021,15,14:30 - 14:45,8232.4,13342,7591.4,7591.4,2630.23,2630.23
17-02-2021,15,14:45 - 15:00,8816.9,13815,8170.9,8170.9,2630.36,2630.36
17-02-2021,16,15:00 - 15:15,8970.1,13354.7,8312.2,8312.2,2666.24,2666.24
17-02-2021,16,15:15 - 15:30,9341.7,13281.5,8683.8,8683.8,2666.9,2666.9
17-02-2021,16,15:30 - 15:45,10090.7,13232.1,9367.4,9367.4,2799.94,2799.94
17-02-2021,16,15:45 - 16:00,10392.5,12999.2,9627.2,9627.2,2847.18,2847.18
17-02-2021,17,16:00 - 16:15,10280.2,12876.9,9467,9467,2828.36,2828.36
17-02-2021,17,16:15 - 16:30,10879.7,12881.1,9969,9969,2966.9,2966.9
17-02-2021,17,16:30 - 16:45,11051.5,12579.8,9797.8,9797.8,3278.53,3278.53
17-02-2021,17,16:45 - 17:00,10889.9,11813.6,9561.4,9561.4,3441.49,3441.49
17-02-2021,18,17:00 - 17:15,9737.8,11511.5,8638.8,8638.8,3095.39,3095.39
17-02-2021,18,17:15 - 17:30,9431.4,10820.4,8005.5,8005.5,3229.09,3229.09
17-02-2021,18,17:30 - 17:45,9173.6,9954.2,7634,7634,3437.72,3437.72
17-02-2021,18,17:45 - 18:00,9018.4,9102.2,7360.2,7360.2,3529,3529
17-02-2021,19,18:00 - 18:15,7946.3,10462.1,7136.2,7136.2,3079.5,3079.5
17-02-2021,19,18:15 - 18:30,8476.2,10247.2,7606,7606,3419.61,3419.61
17-02-2021,19,18:30 - 18:45,9275.8,9778.3,8187.2,8187.2,3529.61,3529.61
17-02-2021,19,18:45 - 19:00,9607,9700.9,8346.5,8346.5,4000.64,4000.64
17-02-2021,20,19:00 - 19:15,8659.1,9966.1,7754.1,7754.1,3449,3449
17-02-2021,20,19:15 - 19:30,8253.4,9893.5,7365.5,7365.5,3419.78,3419.78
17-02-2021,20,19:30 - 19:45,7638.5,9699.5,6780,6780,3299.88,3299.88
17-02-2021,20,19:45 - 20:00,7150,9903.3,6271.5,6271.5,3299.18,3299.18
17-02-2021,21,20:00 - 20:15,6703.8,10648.7,6018,6018,3249.55,3249.55
17-02-2021,21,20:15 - 20:30,6442,11155.7,5762.6,5762.6,3199.57,3199.57
17-02-2021,21,20:30 - 20:45,6184,11594.3,5539.5,5539.5,3010,3010
17-02-2021,21,20:45 - 21:00,5955.1,11612.3,5330.2,5330.2,2948.41,2948.41
17-02-2021,22,21:00 - 21:15,6332.1,12352.6,5521.8,5521.8,2799.6,2799.6
17-02-2021,22,21:15 - 21:30,6222.9,12435.6,5412.6,5412.6,2778.22,2778.22
17-02-2021,22,21:30 - 21:45,6088.4,13228.6,5282.9,5282.9,2749.59,2749.59
17-02-2021,22,21:45 - 22:00,5933.9,13824.6,5129.4,5129.4,2685.09,2685.09
17-02-2021,23,22:00 - 22:15,5546.7,14228.1,4120,4120,2500.09,2500.09
17-02-2021,23,22:15 - 22:30,5578.2,14234.8,4064.6,4064.6,2600.51,2600.51
17-02-2021,23,22:30 - 22:45,5371.1,14892.1,3891.9,3891.9,2579.66,2579.66
17-02-2021,23,22:45 - 23:00,5354.5,15307.1,3905.71,3905.71,2510.81,2510.81
17-02-2021,24,23:00 - 23:15,5810.9,16740,4325.5,4325.5,2537.06,2537.06
17-02-2021,24,23:15 - 23:30,6207.3,16367.8,4704.8,4704.8,2579.1,2579.1
17-02-2021,24,23:30 - 23:45,6138.1,16387.3,4671.59,4671.59,2510.7,2510.7
17-02-2021,24,23:45 - 24:00,6178.6,16185.7,4730.28,4730.28,2510.44,2510.44
18-02-2021,1,00:00 - 00:15,6902.6,16938.5,5313.89,5313.89,2510.51,2510.51
18-02-2021,1,00:15 - 00:30,6975.5,17941,5416.1,5416.1,2500.17,2500.17
18-02-2021,1,00:30 - 00:45,6966.8,18894.3,5423.4,5423.4,2450.87,2450.87
18-02-2021,1,00:45 - 01:00,6965.7,19851.3,5619.4,5619.4,2353.82,2353.82
18-02-2021,2,01:00 - 01:15,6913.5,20788,5576.1,5576.1,2303.93,2303.93
18-02-2021,2,01:15 - 01:30,7049.2,21572,5696.1,5696.1,2303.09,2303.09
18-02-2021,2,01:30 - 01:45,7076.2,22136.1,5804.4,5804.4,2300.66,2300.66
18-02-2021,2,01:45 - 02:00,7145.2,22375.2,5924.95,5924.95,2270.32,2270.32
18-02-2021,3,02:00 - 02:15,7226.2,22527.4,5990.7,5990.7,2247.76,2247.76
18-02-2021,3,02:15 - 02:30,7285.4,22566.4,6050.1,6050.1,2247.39,2247.39
18-02-2021,3,02:30 - 02:45,7273.8,22544.2,6038.4,6038.4,2247.24,2247.24
18-02-2021,3,02:45 - 03:00,7294,22526.2,6079,6079,2213.18,2213.18
18-02-2021,4,03:00 - 03:15,7266.5,22454.8,6046.6,6046.6,2247.05,2247.05
18-02-2021,4,03:15 - 03:30,7344.4,22396.7,6124.2,6124.2,2247.34,2247.34
18-02-2021,4,03:30 - 03:45,7317.8,22357.7,6121.5,6121.5,2213.01,2213.01
18-02-2021,4,03:45 - 04:00,7119,22326.7,5938,5938,2188.87,2188.87
18-02-2021,5,04:00 - 04:15,7256.5,22163.2,6031,6031,2230.9,2230.9
18-02-2021,5,04:15 - 04:30,7192.4,21659.2,5900,5900,2335.73,2335.73
18-02-2021,5,04:30 - 04:45,7130.8,21313.7,5792.6,5792.6,2350.85,2350.85
18-02-2021,5,04:45 - 05:00,7111.8,20869.2,5628.7,5628.7,2354.94,2354.94
18-02-2021,6,05:00 - 05:15,7493,19370.8,6182,6182,2510.49,2510.49
18-02-2021,6,05:15 - 05:30,7900.1,17712.2,6584.6,6584.6,2537.27,2537.27
18-02-2021,6,05:30 - 05:45,8211.4,16321.7,6893.6,6893.6,2558.62,2558.62
18-02-2021,6,05:45 - 06:00,8585.7,15573.7,7245.9,7245.9,2630.58,2630.58
18-02-2021,7,06:00 - 06:15,8522.9,14291.5,7718.1,7718.1,2630.43,2630.43
18-02-2021,7,06:15 - 06:30,10948.2,13716.5,10086.9,10086.9,2959.99,2959.99
18-02-2021,7,06:30 - 06:45,11951.6,12579.2,10919,10919,3529.8,3529.8
18-02-2021,7,06:45 - 07:00,12267.9,12498.6,11118.7,11118.7,3711.01,3711.01
18-02-2021,8,07:00 - 07:15,12021.9,12785.3,10882.5,10882.5,3529.23,3529.23
18-02-2021,8,07:15 - 07:30,12460.8,12896,11275.4,11275.4,3529.99,3529.99
18-02-2021,8,07:30 - 07:45,12613.5,13295.6,11455.9,11455.9,3579.75,3579.75
18-02-2021,8,07:45 - 08:00,12799.1,12702.6,11117.7,11117.7,4456.24,4456.24
18-02-2021,9,08:00 - 08:15,12100.8,12413.2,10811.65,10811.65,3930.54,3930.54
