Date ,Hour,Time block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh),Weighted MCP (Rs/MWh)
16-10-2021,24,23:00 - 23:15,13924.80,13651.40,11156.00,11156.00,6695.26,6695.26
16-10-2021,24,23:15 - 23:30,13728.30,13870.40,10871.30,10871.30,6000.23,6000.23
16-10-2021,24,23:30 - 23:45,13799.90,13649.20,10911.60,10911.60,6695.41,6695.41
16-10-2021,24,23:45 - 24:00,13617.70,13732.10,10678.40,10678.40,6499.97,6499.97
17-10-2021,1,00:00 - 00:15,13272.70,11470.80,9656.40,9656.40,7999.35,7999.35
17-10-2021,1,00:15 - 00:30,13249.90,11287.90,9521.35,9521.35,8499.93,8499.93
17-10-2021,1,00:30 - 00:45,13293.90,11244.30,9433.30,9433.30,8520.08,8520.08
17-10-2021,1,00:45 - 01:00,13030.40,11195.30,9284.30,9284.30,8520.02,8520.02
17-10-2021,2,01:00 - 01:15,13276.20,11302.30,9247.30,9247.30,8520.17,8520.17
17-10-2021,2,01:15 - 01:30,12697.50,11338.20,9190.20,9190.20,8499.47,8499.47
17-10-2021,2,01:30 - 01:45,12967.80,11422.60,9064.10,9064.10,7520.24,7520.24
17-10-2021,2,01:45 - 02:00,12651.40,11460.10,9017.60,9017.60,7520.01,7520.01
17-10-2021,3,02:00 - 02:15,12714.80,11212.80,8301.90,8301.90,6695.32,6695.32
17-10-2021,3,02:15 - 02:30,12651.40,11239.50,8353.10,8353.10,6695.36,6695.36
17-10-2021,3,02:30 - 02:45,12355.20,10896.00,8157.70,8157.70,6695.70,6695.70
17-10-2021,3,02:45 - 03:00,12348.10,10812.00,8195.30,8195.30,6695.90,6695.90
17-10-2021,4,03:00 - 03:15,12264.60,10858.70,8228.70,8228.70,6695.74,6695.74
17-10-2021,4,03:15 - 03:30,12371.70,10770.70,8194.30,8194.30,6695.82,6695.82
17-10-2021,4,03:30 - 03:45,12026.40,10762.70,7910.70,7910.70,6695.37,6695.37
17-10-2021,4,03:45 - 04:00,11912.40,10777.80,7673.40,7673.40,6695.04,6695.04
17-10-2021,5,04:00 - 04:15,11389.80,10934.40,7677.00,7677.00,5989.28,5989.28
17-10-2021,5,04:15 - 04:30,11426.00,11214.90,7920.42,7920.42,5520.67,5520.67
17-10-2021,5,04:30 - 04:45,11746.40,11253.00,7931.73,7931.73,5520.96,5520.96
17-10-2021,5,04:45 - 05:00,11787.40,11180.00,7902.00,7902.00,5989.37,5989.37
17-10-2021,6,05:00 - 05:15,11135.70,11162.70,8007.37,8007.37,5520.80,5520.80
17-10-2021,6,05:15 - 05:30,10688.60,11007.80,7756.80,7756.80,5271.69,5271.69
17-10-2021,6,05:30 - 05:45,10752.90,11100.80,7645.48,7645.48,5000.67,5000.67
17-10-2021,6,05:45 - 06:00,10964.80,10823.80,7479.40,7479.40,5271.48,5271.48
17-10-2021,7,06:00 - 06:15,10710.90,11474.50,7613.59,7613.59,4500.90,4500.90
17-10-2021,7,06:15 - 06:30,11350.60,11762.20,8044.80,8044.80,4980.70,4980.70
17-10-2021,7,06:30 - 06:45,11879.90,12006.90,8328.98,8328.98,5000.42,5000.42
17-10-2021,7,06:45 - 07:00,11917.60,11907.30,8229.39,8229.39,5000.78,5000.78
17-10-2021,8,07:00 - 07:15,11769.80,12197.10,8188.60,8188.60,4980.06,4980.06
17-10-2021,8,07:15 - 07:30,11565.30,12253.60,8109.29,8109.29,4500.54,4500.54
17-10-2021,8,07:30 - 07:45,11183.40,12331.90,7945.60,7945.60,4009.67,4009.67
17-10-2021,8,07:45 - 08:00,10625.10,12509.10,7838.10,7838.10,3629.33,3629.33
17-10-2021,9,08:00 - 08:15,10853.30,12060.60,7659.10,7659.10,4100.85,4100.85
17-10-2021,9,08:15 - 08:30,9993.30,12133.40,7443.90,7443.90,3811.68,3811.68
17-10-2021,9,08:30 - 08:45,9519.00,12030.90,7314.99,7314.99,3700.80,3700.80
17-10-2021,9,08:45 - 09:00,9143.30,11986.00,7039.00,7039.00,3609.04,3609.04
17-10-2021,10,09:00 - 09:15,8400.60,11944.00,6659.90,6659.90,3309.75,3309.75
17-10-2021,10,09:15 - 09:30,8114.90,12241.10,6464.80,6464.80,3075.02,3075.02
17-10-2021,10,09:30 - 09:45,8081.40,12277.10,6532.20,6532.20,3075.26,3075.26
17-10-2021,10,09:45 - 10:00,8069.30,12542.50,6536.40,6536.40,3000.74,3000.74
17-10-2021,11,10:00 - 10:15,7949.20,12602.40,6589.80,6589.80,2999.36,2999.36
17-10-2021,11,10:15 - 10:30,7932.80,12815.40,6573.80,6573.80,2989.36,2989.36
17-10-2021,11,10:30 - 10:45,8017.20,13013.40,6758.20,6758.20,2989.23,2989.23
17-10-2021,11,10:45 - 11:00,7985.00,13141.00,6807.60,6807.60,2850.61,2850.61
17-10-2021,12,11:00 - 11:15,7918.50,13265.30,6918.00,6918.00,2720.28,2720.28
17-10-2021,12,11:15 - 11:30,7777.10,13202.80,6885.50,6885.50,2499.53,2499.53
