date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh)
04-12-2021,6,05:45 - 06:00,9123.4,9433.7,6722.5,6722.5,3029.01,3029.01
04-12-2021,7,06:00 - 06:15,10506.3,8633.6,7293.8,7293.8,4040.04,4040.04
04-12-2021,7,06:15 - 06:30,11744.7,8396.4,7525.6,7525.6,5000.47,5000.47
04-12-2021,7,06:30 - 06:45,12665.8,9189.4,8474.6,8474.6,5209.02,5209.02
04-12-2021,7,06:45 - 07:00,13491.5,9376.9,8792.1,8792.1,5502.46,5502.46
04-12-2021,8,07:00 - 07:15,14650,9192.5,8668,8668,5507.64,5507.64
04-12-2021,8,07:15 - 07:30,15183.1,9087.8,8887.7,8887.7,6100.7,6100.7
04-12-2021,8,07:30 - 07:45,15668.1,8899.9,8699.8,8699.8,6750.68,6750.68
04-12-2021,8,07:45 - 08:00,16542.3,8949.1,8809,8809,7000.05,7000.05
04-12-2021,9,08:00 - 08:15,16418,9484.6,9314.5,9314.5,6750.64,6750.64
04-12-2021,9,08:15 - 08:30,16269.5,9989,9818.9,9818.9,6750.24,6750.24
04-12-2021,9,08:30 - 08:45,16110.3,10568.1,10398,10398,6750.01,6750.01
04-12-2021,9,08:45 - 09:00,15664.6,10124,9619.5,9619.5,5150.71,5150.71
04-12-2021,10,09:00 - 09:15,15464.2,10395.9,9906,9906,4750.67,4750.67
04-12-2021,10,09:15 - 09:30,15110.7,10521.4,10031.5,10031.5,4750.45,4750.45
04-12-2021,10,09:30 - 09:45,14473.2,10131.6,9641.7,9641.7,5250.35,5250.35
04-12-2021,10,09:45 - 10:00,13871.7,9675.9,9136,9136,5250.46,5250.46
04-12-2021,11,10:00 - 10:15,13431.6,9051.3,8373.7,8373.7,5250.44,5250.44
04-12-2021,11,10:15 - 10:30,13093.7,9053.9,8253.8,8253.8,4750.55,4750.55
04-12-2021,11,10:30 - 10:45,12659.3,9273,8315,8315,4750.34,4750.34
04-12-2021,11,10:45 - 11:00,12452.6,9364.7,8286.7,8286.7,4750.22,4750.22
04-12-2021,12,11:00 - 11:15,11357.8,9516.3,8059.29,8059.29,4000.2,4000.2
04-12-2021,12,11:15 - 11:30,11056.9,9690,7832.2,7832.2,3900.34,3900.34
04-12-2021,12,11:30 - 11:45,10513.9,9656.8,7684.7,7684.7,3762.64,3762.64
04-12-2021,12,11:45 - 12:00,10283.9,9855.6,7550.4,7550.4,3519.19,3519.19
04-12-2021,13,12:00 - 12:15,10056.3,10009.1,7638,7638,3202.25,3202.25
04-12-2021,13,12:15 - 12:30,9892.3,10107.9,7523.8,7523.8,3151.99,3151.99
04-12-2021,13,12:30 - 12:45,9536.9,10191.6,7336.5,7336.5,3043.72,3043.72
04-12-2021,13,12:45 - 13:00,9251,10616.4,7287.3,7287.3,2882.9,2882.9
04-12-2021,14,13:00 - 13:15,8388.4,11271,6478.9,6478.9,2499.59,2499.59
04-12-2021,14,13:15 - 13:30,8189.3,11486.3,6349.1,6349.1,2300.98,2300.98
04-12-2021,14,13:30 - 13:45,8909.7,11836.6,6557.95,6557.95,2500.42,2500.42
04-12-2021,14,13:45 - 14:00,9033.9,12116.9,6618.8,6618.8,2600,2600
04-12-2021,15,14:00 - 14:15,9089.5,12080.4,6729.8,6729.8,2555.95,2555.95
04-12-2021,15,14:15 - 14:30,9519.9,11968.6,7059.6,7059.6,2740.15,2740.15
04-12-2021,15,14:30 - 14:45,10281.5,11819.4,7543.1,7543.1,2900.22,2900.22
04-12-2021,15,14:45 - 15:00,10657.1,11702.5,7809.7,7809.7,2900.28,2900.28
04-12-2021,16,15:00 - 15:15,11070.1,10961.9,8141.9,8141.9,3100.33,3100.33
04-12-2021,16,15:15 - 15:30,11862.1,10526.6,8594.3,8594.3,3500.14,3500.14
04-12-2021,16,15:30 - 15:45,12366.8,10066.6,8539.77,8539.77,3600.3,3600.3
04-12-2021,16,15:45 - 16:00,12907.1,9782.8,8766.5,8766.5,5000.02,5000.02
04-12-2021,17,16:00 - 16:15,12698.2,9272.1,8420,8420,5000.35,5000.35
04-12-2021,17,16:15 - 16:30,13257.7,9377.9,8641.2,8641.2,5503.43,5503.43
04-12-2021,17,16:30 - 16:45,14057.2,9452.8,8763.7,8763.7,5508.29,5508.29
04-12-2021,17,16:45 - 17:00,14727.5,8516,8148.7,8148.7,6350.65,6350.65
04-12-2021,18,17:00 - 17:15,13977.2,8387.9,7997.5,7997.5,7250.51,7250.51
04-12-2021,18,17:15 - 17:30,13752.5,8617.3,8199.2,8199.2,8000.55,8000.55
04-12-2021,18,17:30 - 17:45,13714.7,8667.7,8251,8251,8520.04,8520.04
04-12-2021,18,17:45 - 18:00,13474.8,8559,8140.4,8140.4,8520.84,8520.84
04-12-2021,19,18:00 - 18:15,14528,8646.7,8270.4,8270.4,8520.73,8520.73
04-12-2021,19,18:15 - 18:30,15033.7,8550.1,8181.69,8181.69,20000,20000
04-12-2021,19,18:30 - 18:45,14661.6,8588.4,8220,8220,20000,20000
04-12-2021,19,18:45 - 19:00,13847.5,8624.8,8231.39,8231.39,16489.5,16489.5
04-12-2021,20,19:00 - 19:15,12282.6,8596.6,8144.7,8144.7,7250.25,7250.25
04-12-2021,20,19:15 - 19:30,11796.3,8668.6,8222,8222,7250.13,7250.13
04-12-2021,20,19:30 - 19:45,11362.7,8403.6,7932.26,7932.26,6000.65,6000.65
04-12-2021,20,19:45 - 20:00,10481,8385.6,7596.5,7596.5,5503.82,5503.82
04-12-2021,21,20:00 - 20:15,9727.6,8655.7,7742.4,7742.4,4520.64,4520.64
04-12-2021,21,20:15 - 20:30,9591.2,8346.9,7427.59,7427.59,5000.12,5000.12
04-12-2021,21,20:30 - 20:45,9349.8,8247.4,7220.7,7220.7,4689.84,4689.84
04-12-2021,21,20:45 - 21:00,9262.4,8529,7386.9,7386.9,4199.98,4199.98
04-12-2021,22,21:00 - 21:15,8547.8,8345.9,6846.1,6846.1,3858.84,3858.84
04-12-2021,22,21:15 - 21:30,8061.9,8715.9,6550.9,6550.9,3577.07,3577.07
04-12-2021,22,21:30 - 21:45,7805.4,9270.8,6564.33,6564.33,3390.78,3390.78
04-12-2021,22,21:45 - 22:00,7250.3,9747.8,6188.1,6188.1,3038.52,3038.52
04-12-2021,23,22:00 - 22:15,6975.2,9954.4,5482.1,5482.1,2817.38,2817.38
04-12-2021,23,22:15 - 22:30,6801.1,9924.4,5306.5,5306.5,2809.34,2809.34
04-12-2021,23,22:30 - 22:45,6902.6,9911.3,5409,5409,2821.74,2821.74
04-12-2021,23,22:45 - 23:00,6729.5,10289.8,5325.9,5325.9,2701.84,2701.84
04-12-2021,24,23:00 - 23:15,6759,10980.6,5379.5,5379.5,2695.85,2695.85
04-12-2021,24,23:15 - 23:30,6725.9,11942.5,5432.5,5432.5,2555.05,2555.05
04-12-2021,24,23:30 - 23:45,6638.5,12389.5,5577.3,5577.3,2299.97,2299.97
04-12-2021,24,23:45 - 24:00,6662.6,12607.3,5601.5,5601.5,2299.54,2299.54
05-12-2021,1,00:00 - 00:15,7339.3,12479.2,6418.9,6418.9,2052.19,2052.19
05-12-2021,1,00:15 - 00:30,7298.7,13375.8,6632.6,6632.6,1999.97,1999.97
05-12-2021,1,00:30 - 00:45,7242.3,14197.8,6586.2,6586.2,1999.83,1999.83
05-12-2021,1,00:45 - 01:00,7218.2,14977.7,6562.1,6562.1,1999.74,1999.74
05-12-2021,2,01:00 - 01:15,7250,15781.8,6425.1,6425.1,1999.66,1999.66
05-12-2021,2,01:15 - 01:30,7279.5,16044.7,6454.6,6454.6,1999.57,1999.57
05-12-2021,2,01:30 - 01:45,7197.6,16298.8,6373.2,6373.2,1999.45,1999.45
05-12-2021,2,01:45 - 02:00,7089,16392.7,6264.59,6264.59,1999.33,1999.33
05-12-2021,3,02:00 - 02:15,7561.1,16430.1,6728.9,6728.9,1999.52,1999.52
05-12-2021,3,02:15 - 02:30,7556.5,16549.1,6724.3,6724.3,1999.46,1999.46
05-12-2021,3,02:30 - 02:45,7422.8,16633.3,6590.6,6590.6,1989.85,1989.85
05-12-2021,3,02:45 - 03:00,7443.9,16764.3,6611.7,6611.7,1989.35,1989.35
05-12-2021,4,03:00 - 03:15,7360.4,16794.3,6535.4,6535.4,1987.75,1987.75
05-12-2021,4,03:15 - 03:30,7364.8,16920.3,6539.8,6539.8,1987.29,1987.29
05-12-2021,4,03:30 - 03:45,7331.3,16911.3,6527.1,6527.1,1911.73,1911.73
05-12-2021,4,03:45 - 04:00,7289.6,16977.3,6546.09,6546.09,1800.04,1800.04
05-12-2021,5,04:00 - 04:15,7527.8,16817.1,6789.4,6789.4,1724.71,1724.71
05-12-2021,5,04:15 - 04:30,7563.3,16322.1,6732.1,6732.1,1989.22,1989.22
05-12-2021,5,04:30 - 04:45,7571,15932.4,6915.8,6915.8,1999.57,1999.57
05-12-2021,5,04:45 - 05:00,7672.3,15019.8,7017.3,7017.3,1999.81,1999.81
05-12-2021,6,05:00 - 05:15,7738.6,13589.6,6874.09,6874.09,2100.7,2100.7
05-12-2021,6,05:15 - 05:30,7805.5,12156.5,6958,6958,2250.17,2250.17
05-12-2021,6,05:30 - 05:45,7917.8,11310.3,6850.5,6850.5,2499.84,2499.84
05-12-2021,6,05:45 - 06:00,8261.9,11299.5,7020.5,7020.5,2555.22,2555.22
05-12-2021,7,06:00 - 06:15,9076.9,10867.7,8054.9,8054.9,3043.51,3043.51
05-12-2021,7,06:15 - 06:30,10210.7,10494.8,8697.39,8697.39,3700.41,3700.41
05-12-2021,7,06:30 - 06:45,11195.8,11103.6,9441.2,9441.2,3811.08,3811.08
05-12-2021,7,06:45 - 07:00,12038.7,11152.3,9861.7,9861.7,4200.35,4200.35
05-12-2021,8,07:00 - 07:15,12981.1,11510.7,10339.8,10339.8,4689.7,4689.7
05-12-2021,8,07:15 - 07:30,13368.5,12071.4,10838.09,10838.09,4400.9,4400.9
05-12-2021,8,07:30 - 07:45,13920,11881.1,10774.8,10774.8,5501.48,5501.48
05-12-2021,8,07:45 - 08:00,14976,11897.4,11015.5,11015.5,5999.72,5999.72
05-12-2021,9,08:00 - 08:15,15157.4,12522.7,11419.1,11419.1,5889.1,5889.1
05-12-2021,9,08:15 - 08:30,15006.3,13014.5,11814.7,11814.7,5505.13,5505.13
05-12-2021,9,08:30 - 08:45,14681.9,13466.6,12146.8,12146.8,4900.75,4900.75
05-12-2021,9,08:45 - 09:00,14174.3,12977.1,11607.3,11607.3,4800.61,4800.61
05-12-2021,10,09:00 - 09:15,13429.7,12700.9,11138.4,11138.4,4170.92,4170.92
05-12-2021,10,09:15 - 09:30,13254.6,13032.6,11197.1,11197.1,3943.55,3943.55
05-12-2021,10,09:30 - 09:45,12464.6,13567.4,10963.1,10963.1,3306.25,3306.25
05-12-2021,10,09:45 - 10:00,12340.7,13617.6,10839.2,10839.2,3306.07,3306.07
05-12-2021,11,10:00 - 10:15,11569.2,13597.1,9931.99,9931.99,3100.93,3100.93
05-12-2021,11,10:15 - 10:30,11322.9,13744.2,9765,9765,3043.82,3043.82
05-12-2021,11,10:30 - 10:45,10870.8,13430.4,9424.2,9424.2,3043.55,3043.55
05-12-2021,11,10:45 - 11:00,10350.5,13569,9048.1,9048.1,2951.97,2951.97
05-12-2021,12,11:00 - 11:15,9232.6,13473.8,8421.9,8421.9,2579.87,2579.87
05-12-2021,12,11:15 - 11:30,9174.4,13495.1,8363.7,8363.7,2579.71,2579.71
05-12-2021,12,11:30 - 11:45,8439.5,12945.7,7818.7,7818.7,2589.92,2589.92
05-12-2021,12,11:45 - 12:00,8306.2,13096.1,7695.5,7695.5,2579.07,2579.07
05-12-2021,13,12:00 - 12:15,7841.5,13472.8,7383.3,7383.3,2257.76,2257.76
05-12-2021,13,12:15 - 12:30,7595.7,14130.9,7141.1,7141.1,2187.19,2187.19
05-12-2021,13,12:30 - 12:45,7227,14199.8,6808.5,6808.5,1999.7,1999.7
05-12-2021,13,12:45 - 13:00,6845.8,14930.2,6427.3,6427.3,1999.22,1999.22
05-12-2021,14,13:00 - 13:15,6073.3,15775.5,5650.1,5650.1,1499.9,1499.9
05-12-2021,14,13:15 - 13:30,6003.2,16140.9,5580,5580,1499.76,1499.76
05-12-2021,14,13:30 - 13:45,6157.7,16325.6,5734.5,5734.5,1499.92,1499.92
05-12-2021,14,13:45 - 14:00,6030.6,16236.8,5607.4,5607.4,1499.86,1499.86
05-12-2021,15,14:00 - 14:15,5892,16790.5,5475.2,5475.2,1499.76,1499.76
05-12-2021,15,14:15 - 14:30,6312.5,16445.3,5876,5876,1800.18,1800.18
05-12-2021,15,14:30 - 14:45,6561.9,16532.8,6143.5,6143.5,1799.52,1799.52
05-12-2021,15,14:45 - 15:00,6980,16177.8,6456,6456,1999.5,1999.5
05-12-2021,16,15:00 - 15:15,6600.7,15228,6283.3,6283.3,1999.31,1999.31
05-12-2021,16,15:15 - 15:30,7081.6,14690.3,6734.5,6734.5,2187.27,2187.27
05-12-2021,16,15:30 - 15:45,8498.8,14095.7,7730.8,7730.8,2600.34,2600.34
05-12-2021,16,15:45 - 16:00,8862.9,13621.5,7990.3,7990.3,2602.86,2602.86
05-12-2021,17,16:00 - 16:15,9222.3,12724.7,8127.2,8127.2,2705.67,2705.67
05-12-2021,17,16:15 - 16:30,9928.9,12056.9,8563.2,8563.2,2987.42,2987.42
05-12-2021,17,16:30 - 16:45,10471.5,11879.7,8828.6,8828.6,3262.32,3262.32
05-12-2021,17,16:45 - 17:00,10908.8,11314.8,8973.7,8973.7,3800.82,3800.82
05-12-2021,18,17:00 - 17:15,10974.7,10502,8645.8,8645.8,5000.05,5000.05
05-12-2021,18,17:15 - 17:30,11012.9,10369.8,8510.9,8510.9,5501.56,5501.56
05-12-2021,18,17:30 - 17:45,11586.5,10252.8,8405.6,8405.6,5508.08,5508.08
05-12-2021,18,17:45 - 18:00,11615.6,10254.6,8384,8384,5508.08,5508.08
05-12-2021,19,18:00 - 18:15,11068.4,10444.2,8393,8393,5500.12,5500.12
05-12-2021,19,18:15 - 18:30,11448.8,10441.6,7905.6,7905.6,5889.43,5889.43
05-12-2021,19,18:30 - 18:45,11049.5,10327.9,7818.6,7818.6,5507.53,5507.53
