Date ,Hour,          Time ,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) ,Weighted MCP (Rs/MWh)
20-11-2021,8,07:30 - 07:45,9908.70,9415.70,7573.40,7573.40,3867.00,3867.00
20-11-2021,8,07:45 - 08:00,9660.50,9468.80,7626.50,7626.50,3861.57,3861.57
20-11-2021,9,08:00 - 08:15,9223.10,9657.60,7642.50,7642.50,3500.77,3500.77
20-11-2021,9,08:15 - 08:30,9454.50,9645.90,7678.60,7678.60,3750.17,3750.17
20-11-2021,9,08:30 - 08:45,9331.70,9834.50,7859.20,7859.20,3628.95,3628.95
20-11-2021,9,08:45 - 09:00,9192.60,9896.00,7830.50,7830.50,3444.48,3444.48
20-11-2021,10,09:00 - 09:15,9725.00,9529.70,7556.30,7556.30,3800.08,3800.08
20-11-2021,10,09:15 - 09:30,9898.00,9679.70,7706.30,7706.30,3800.46,3800.46
20-11-2021,10,09:30 - 09:45,9928.40,9715.30,7690.00,7690.00,3850.48,3850.48
20-11-2021,10,09:45 - 10:00,9689.80,10034.10,7671.90,7671.90,3762.00,3762.00
20-11-2021,11,10:00 - 10:15,9060.00,10067.90,7245.20,7245.20,3250.71,3250.71
20-11-2021,11,10:15 - 10:30,8783.50,10219.00,7069.60,7069.60,3147.68,3147.68
20-11-2021,11,10:30 - 10:45,8582.60,10446.00,6943.60,6943.60,3000.22,3000.22
20-11-2021,11,10:45 - 11:00,8387.90,10256.50,6712.90,6712.90,3000.51,3000.51
20-11-2021,12,11:00 - 11:15,8093.30,9919.70,6359.60,6359.60,3029.52,3029.52
20-11-2021,12,11:15 - 11:30,7736.90,9738.20,6087.70,6087.70,3000.52,3000.52
20-11-2021,12,11:30 - 11:45,7640.80,9663.60,5898.20,5898.20,3029.14,3029.14
20-11-2021,12,11:45 - 12:00,7623.00,9830.90,5905.70,5905.70,3009.15,3009.15
20-11-2021,13,12:00 - 12:15,7343.30,10611.90,6264.50,6264.50,2695.21,2695.21
20-11-2021,13,12:15 - 12:30,7373.00,10698.70,6292.60,6292.60,2676.02,2676.02
20-11-2021,13,12:30 - 12:45,7144.50,10854.60,6225.60,6225.60,2579.28,2579.28
20-11-2021,13,12:45 - 13:00,6866.10,11009.00,6026.90,6026.90,2359.82,2359.82
20-11-2021,14,13:00 - 13:15,6489.50,11514.20,5595.80,5595.80,2187.37,2187.37
20-11-2021,14,13:15 - 13:30,6499.40,11796.40,5605.70,5605.70,2187.03,2187.03
20-11-2021,14,13:30 - 13:45,7104.70,11904.10,6192.40,6192.40,2200.02,2200.02
20-11-2021,14,13:45 - 14:00,7251.00,12020.80,6253.60,6253.60,2200.86,2200.86
20-11-2021,15,14:00 - 14:15,7599.80,11561.90,6577.60,6577.60,2555.63,2555.63
20-11-2021,15,14:15 - 14:30,8116.80,11415.80,7004.00,7004.00,2700.74,2700.74
20-11-2021,15,14:30 - 14:45,7640.50,11215.50,6827.00,6827.00,2520.65,2520.65
20-11-2021,15,14:45 - 15:00,7827.50,11039.40,7005.30,7005.30,2579.90,2579.90
20-11-2021,16,15:00 - 15:15,7860.90,10735.20,6760.20,6760.20,2800.74,2800.74
20-11-2021,16,15:15 - 15:30,8175.20,10507.10,6906.99,6906.99,2900.85,2900.85
20-11-2021,16,15:30 - 15:45,8139.90,10259.40,6853.60,6853.60,2900.88,2900.88
20-11-2021,16,15:45 - 16:00,8445.10,10279.60,7031.60,7031.60,3000.62,3000.62
