date,hour,time,purchase bid,sell bid,mcv,fsv,mcp
20-03-2021,21,20:30,12218,7711.6,7711.6,7711.6,6999.33
20-03-2021,21,20:45,11999.4,7697.8,7697.8,7697.8,6999.16
20-03-2021,22,21:00,11954.1,7797.9,7797.9,7797.9,6999.04
20-03-2021,22,21:15,12014,7644.3,7644.3,7644.3,6999.24
20-03-2021,22,21:30,11558.6,7664.9,7664.9,7664.9,6416.5
20-03-2021,22,21:45,11489,7715,7715,7715,6000.96
20-03-2021,23,22:00,11513,7227.9,7227.9,7227.9,6559.17
20-03-2021,23,22:15,11404.6,6932.9,6932.9,6932.9,6999.71
20-03-2021,23,22:30,10833.8,6784.8,6784.8,6784.8,6500.24
20-03-2021,23,22:45,10699.3,6788.7,6788.7,6788.7,6520.85
20-03-2021,24,23:00,11146.1,6861.4,6861.4,6861.4,6950.63
20-03-2021,24,23:15,10769.7,7032.7,7032.7,7032.7,6250.05
20-03-2021,24,23:30,10816.5,6946.9,6946.9,6946.9,6316.25
20-03-2021,24,23:45,10808.8,7205.5,7205.5,7205.5,6039.5
21-03-2021,1,0:00,10424.2,9223.7,8335.3,8333,4322.4
21-03-2021,1,0:15,10750.5,9365.3,8632.5,8630.2,4549.45
21-03-2021,1,0:30,10605.6,9658,8525.5,8523.2,4217.77
21-03-2021,1,0:45,10618.2,9992.7,8538.3,8536,4217.57
21-03-2021,2,1:00,10620,10444.1,8541.8,8539.5,4129.5
21-03-2021,2,1:15,10465,10688.4,8460.6,8458.3,3990.07
21-03-2021,2,1:30,10438.2,10918.5,8604.6,8604.6,3500.18
21-03-2021,2,1:45,10224,11304.5,8411.9,8409.6,3428.91
21-03-2021,3,2:00,10150.4,11533.1,8383.9,8381.6,3469.38
21-03-2021,3,2:15,9999,11753.9,8236.5,8234.2,3428.45
21-03-2021,3,2:30,9860.9,11977.9,8119.9,8117.6,3398.08
21-03-2021,3,2:45,9757.6,12096.9,8017,8014.7,3363.82
21-03-2021,4,3:00,10117.8,12312.8,8379.8,8377.5,3398.25
21-03-2021,4,3:15,10248.1,12581.8,8509.7,8507.4,3398.03
21-03-2021,4,3:30,10205.1,12675.7,8466.4,8464.1,3374.91
21-03-2021,4,3:45,10156.8,12643.7,8418.8,8416.5,3374.54
21-03-2021,5,4:00,10373.6,12917.7,8629.6,8624.8,3363.2
21-03-2021,5,4:15,10566.3,12742.7,8823.2,8818.4,3398.04
21-03-2021,5,4:30,10617.1,12482.9,8877,8851.9,3398.74
21-03-2021,5,4:45,10801.3,11973.9,9034.9,9001,3469.85
21-03-2021,6,5:00,11251.1,12129.9,9447.9,9193.6,3700.76
21-03-2021,6,5:15,11384.2,12113.9,9484.6,9325,3990.35
21-03-2021,6,5:30,11641.8,12274,9735.8,9580.9,3990.98
21-03-2021,6,5:45,12219.6,12455.2,10062.6,9955.7,4129.2
21-03-2021,7,6:00,12803.3,12088.1,10805.6,10379,4489.75
21-03-2021,7,6:15,14082.6,12771.2,11860.4,11532.4,4900.83
21-03-2021,7,6:30,13804.5,13460.8,11635.6,11290.2,4217.54
21-03-2021,7,6:45,14042.4,13898.9,11845.9,11580.5,4217.01
21-03-2021,8,7:00,14133.1,14236,11927.5,11808.8,4000.2
21-03-2021,8,7:15,14098.1,14267,11913.3,11990.8,4217.06
21-03-2021,8,7:30,13471.7,14253.6,11580.6,11480.2,3999.56
21-03-2021,8,7:45,13054.4,14071.6,11275.8,11181.9,3980.46
21-03-2021,9,8:00,12351.8,15042.6,11158.6,10872.6,3299.63
21-03-2021,9,8:15,12015.1,15633,11123.2,10672.1,3250.19
21-03-2021,9,8:30,11218,15194.4,10366.7,10264.3,3134.03
21-03-2021,9,8:45,10648.7,14475,9773.5,9671.1,3279.93
21-03-2021,10,9:00,10050,13484.2,9081.7,9020.3,3363.02
21-03-2021,10,9:15,10021.3,12525.9,9013.3,8940.6,3469.88
21-03-2021,10,9:30,9346.9,12028.2,8343.2,8275.6,3442.96
21-03-2021,10,9:45,9005.1,11647.2,7986.4,7923.5,3442.02
21-03-2021,11,10:00,8692,11736.2,7397.9,7395.6,3279.15
21-03-2021,11,10:15,8706.1,11770.1,7407.2,7404.9,3279.15
21-03-2021,11,10:30,8714.5,11853.2,7505.5,7503.2,3279.24
21-03-2021,11,10:45,8748.1,11948.7,7459.9,7459.9,3200.24
21-03-2021,12,11:00,9052.5,11860.9,7742.7,7740.4,3279.85
